Date & Time;Höhe  [m];I [mA];Latit GPS;Lontit GPS;Altit GPS [m];Battery [V];DeviceID
09.01.2014 16:03:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:04:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:05:00;0,0184;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:06:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:07:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:08:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:09:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:10:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:11:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:12:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:13:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:14:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:15:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:16:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:17:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:18:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:19:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:20:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:21:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:22:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:23:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:24:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:25:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:26:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:27:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:28:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:29:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:30:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:31:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:32:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:33:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:34:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:35:00;0,0181;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:36:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:37:00;0,0181;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:38:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:39:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:40:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:41:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:42:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:43:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:44:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:45:00;0,0181;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:46:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:47:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:48:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:49:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:50:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:51:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:52:00;0,0178;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:53:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:54:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:55:00;0,0174;4,58;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:56:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:57:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:58:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 16:59:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:00:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:01:00;0,0175;4,58;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:02:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:03:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:04:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:05:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:06:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:07:00;0,0175;4,58;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:08:00;0,0175;4,59;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:09:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:10:00;0,0184;4,62;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:11:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:12:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:13:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:14:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:15:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:16:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,7;002C8A4B
09.01.2014 17:17:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:18:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:19:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:20:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:21:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:22:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:23:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:24:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:25:00;0,0175;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:26:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:27:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:28:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:29:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:30:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:31:00;0,0172;4,58;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:32:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:33:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:34:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:35:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:36:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:37:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:38:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:39:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:40:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:41:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:42:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:43:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:44:00;0,0173;4,58;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:45:00;0,0175;4,58;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:46:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:47:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:48:00;0,0181;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:49:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:50:00;0,0172;4,58;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:51:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:52:00;0,0173;4,58;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:53:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:54:00;0,0196;4,66;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:55:00;0,0214;4,72;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:56:00;0,0212;4,71;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:57:00;0,0215;4,72;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:58:00;0,0202;4,67;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 17:59:00;0,0208;4,69;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:00:00;0,0203;4,68;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:01:00;0,0199;4,66;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:02:00;0,0198;4,66;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:03:00;0,0201;4,67;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:04:00;0,0196;4,65;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:05:00;0,0202;4,68;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:06:00;0,0196;4,66;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:07:00;0,0198;4,66;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:08:00;0,0197;4,66;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:09:00;0,019;4,63;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:10:00;0,0193;4,65;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:11:00;0,019;4,63;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:12:00;0,0196;4,65;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:13:00;0,0189;4,63;52.5402066 N;13.5171733 E;105;2,69;002C8A4B
09.01.2014 18:14:00;0,0189;4,63;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:15:00;0,0191;4,64;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:16:00;0,0189;4,63;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:17:00;0,0186;4,62;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:18:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:19:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:20:00;0,0186;4,62;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:21:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:22:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:23:00;0,0181;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:24:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:25:00;0,0189;4,63;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:26:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:27:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:28:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:29:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:30:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:31:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:32:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:33:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:34:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:35:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:36:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:37:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:38:00;0,0174;4,58;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:39:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:40:00;0,0178;4,59;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:41:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:42:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:43:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:44:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:45:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:46:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:47:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:48:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:49:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:50:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:51:00;0,0184;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:52:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:53:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:54:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:55:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:56:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:57:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:58:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 18:59:00;0,0174;4,58;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 19:00:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
09.01.2014 19:01:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,68;002C8A4B
